"id","owner_first_name","owner_last_name","business_name","business_address","business_phone_number","bir_registration_url","business_certificate_url","mayors_permit_url","username","email","cover_photo_url","services_offered","does_delivery","about_business","exact_location","business_hours","is_online","open_hours","availability_status","operating_hours","time_slots","latitude","longitude","status","rejection_reason","rejection_notes"
"3f4a8b2e-1a7e-4d5f-9c8d-1234567890ab","Maria","Concepcion","Labadabango Laundry House","M Tower, Malvar St. corner Talakitok St., Brgy. Mandaragat, Puerto Princesa City","0953-059-0238","","","","labadabango","labadabango@gmail.com","","[{""service"": ""Wash & Fold"", ""price"": 280}, {""service"": ""Wash & Fold"", ""price"": 225}]","true","Family-owned laundry shop offering affordable services with LG industrial washing machines. Prime location near hospitals, schools, and BPOs.","Malvar St. corner Talakitok St., Brgy. Mandaragat","{""monday"": {""open"": ""07:00"", ""close"": ""22:00""}, ""tuesday"": {""open"": ""07:00"", ""close"": ""22:00""}, ""wednesday"": {""open"": ""07:00"", ""close"": ""22:00""}, ""thursday"": {""open"": ""07:00"", ""close"": ""22:00""}, ""friday"": {""open"": ""07:00"", ""close"": ""22:00""}, ""saturday"": {""open"": ""07:00"", ""close"": ""22:00""}, ""sunday"": {""open"": ""07:00"", ""close"": ""22:00""}}","true","7:00 AM - 10:00 PM","Open Slots","{""open_hour"": 7, ""close_hour"": 22, ""open_minute"": 0, ""close_minute"": 0}","[{""slot"": ""07:00-09:00"", ""available"": true}, {""slot"": ""09:00-11:00"", ""available"": true}]","9.7400","118.7400","pending","",""
"7b9c3d4e-2f8a-4b5f-9c7d-2345678901bc","Juan","Delacruz","San Miguel Laundry Services","National Highway, Brgy. San Miguel, Puerto Princesa City","0927-123-4567","","","","sanmiguellaundry","sanmiguellaundry@yahoo.com","","[{""service"": ""Self-Service Wash"", ""price"": 75}, {""service"": ""Self-Service Dry"", ""price"": 70}, {""service"": ""Full Service"", ""price"": 45}]","false","Local laundry shop catering to residents and tourists with self-service and full-service options. Convenient location on national highway.","National Highway, Brgy. San Miguel","{""monday"": {""open"": ""09:00"", ""close"": ""19:00""}, ""tuesday"": {""open"": ""09:00"", ""close"": ""19:00""}, ""wednesday"": {""open"": ""09:00"", ""close"": ""19:00""}, ""thursday"": {""open"": ""09:00"", ""close"": ""19:00""}, ""friday"": {""open"": ""09:00"", ""close"": ""19:00""}, ""saturday"": {""open"": ""09:00"", ""close"": ""19:00""}, ""sunday"": {""open"": ""09:00"", ""close"": ""19:00""}}","true","9:00 AM - 7:00 PM","Open Slots","{""open_hour"": 9, ""close_hour"": 19, ""open_minute"": 0, ""close_minute"": 0}","[{""slot"": ""09:00-11:00"", ""available"": true}, {""slot"": ""11:00-13:00"", ""available"": true}]","9.7350","118.7350","pending","",""
"4a2d5f8e-3c9b-4a8f-8e5f-3456789012cd","Roberto","Lim","Master Wash Laundromat","Rizal Avenue, Brgy. San Pedro, Puerto Princesa City","0935-987-6543","","","","masterwash","masterwash@gmail.com","","[{""service"": ""Self-Service Wash"", ""price"": 75}, {""service"": ""Self-Service Dry"", ""price"": 70}, {""service"": ""Wash & Fold"", ""price"": 50}]","false","Self-service laundromat with LG washers and dryers. Popular among students and young professionals.","Rizal Avenue, Brgy. San Pedro","{""monday"": {""open"": ""08:00"", ""close"": ""20:00""}, ""tuesday"": {""open"": ""08:00"", ""close"": ""20:00""}, ""wednesday"": {""open"": ""08:00"", ""close"": ""20:00""}, ""thursday"": {""open"": ""08:00"", ""close"": ""20:00""}, ""friday"": {""open"": ""08:00"", ""close"": ""20:00""}, ""saturday"": {""open"": ""08:00"", ""close"": ""20:00""}, ""sunday"": {""open"": ""08:00"", ""close"": ""20:00""}}","true","8:00 AM - 8:00 PM","Open Slots","{""open_hour"": 8, ""close_hour"": 20, ""open_minute"": 0, ""close_minute"": 0}","[{""slot"": ""08:00-10:00"", ""available"": true}, {""slot"": ""10:00-12:00"", ""available"": true}]","9.7450","118.7450","pending","",""
"8e1f4a7d-4b5c-4a9f-9e6f-4567890123de","Carmen","Tan","Quick Clean Laundry","B.M. Road near Robinsons Mall, Brgy. San Manuel, Puerto Princesa City","0948-555-7890","","","","quickclean","quickclean@hotmail.com","","[{""service"": ""Per Kilo Service"", ""price"": 20}, {""service"": ""Express Service"", ""price"": 30}]","true","Affordable laundry service near Robinsons Mall. Quick turnaround with pick-up and delivery options.","B.M. Road, Brgy. San Manuel","{""monday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""tuesday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""wednesday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""thursday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""friday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""saturday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""sunday"": {""open"": ""08:00"", ""close"": ""18:00""}}","true","7:00 AM - 7:00 PM","Open Slots","{""open_hour"": 7, ""close_hour"": 19, ""open_minute"": 0, ""close_minute"": 0}","[{""slot"": ""07:00-09:00"", ""available"": true}, {""slot"": ""09:00-11:00"", ""available"": true}]","9.7330","118.7330","pending","",""
"2c7e9a5f-5b8d-4a7f-8e7e-5678901234ef","Linda","Santos","Palawan Laundry Express","National Highway, Brgy. Santa Monica, Puerto Princesa City","0921-234-5678","","","","palawanexpress","palawanexpress@yahoo.com","","[{""service"": ""Regular Wash"", ""price"": 35}, {""service"": ""Dry Cleaning"", ""price"": 150}, {""service"": ""Ironing"", ""price"": 25}]","true","Comprehensive laundry services including dry cleaning and ironing. Serving residential and commercial clients.","National Highway, Brgy. Santa Monica","{""monday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""tuesday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""wednesday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""thursday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""friday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""saturday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""sunday"": {""open"": ""09:00"", ""close"": ""17:00""}}","true","8:00 AM - 6:00 PM","Open Slots","{""open_hour"": 8, ""close_hour"": 18, ""open_minute"": 0, ""close_minute"": 0}","[{""slot"": ""08:00-10:00"", ""available"": true}, {""slot"": ""10:00-12:00"", ""available"": true}]","9.7500","118.7500","pending","",""
"9f3e8b6f-6c8a-4b6f-9f8f-6789012345ab","Ramon","Garcia","Clean & Fresh Laundry","Rizal Street, Brgy. Tiniguiban, Puerto Princesa City","0936-789-0123","","","","cleanfresh","cleanfresh@gmail.com","","[{""service"": ""Wash & Fold"", ""price"": 40}, {""service"": ""Bedsheet Cleaning"", ""price"": 80}, {""service"": ""Curtain Cleaning"", ""price"": 120}]","true","Neighborhood laundry shop specializing in household items and regular clothing. Friendly service with quick turnaround.","Rizal Street, Brgy. Tiniguiban","{""monday"": {""open"": ""07:30"", ""close"": ""18:30""}, ""tuesday"": {""open"": ""07:30"", ""close"": ""18:30""}, ""wednesday"": {""open"": ""07:30"", ""close"": ""18:30""}, ""thursday"": {""open"": ""07:30"", ""close"": ""18:30""}, ""friday"": {""open"": ""07:30"", ""close"": ""18:30""}, ""saturday"": {""open"": ""07:30"", ""close"": ""18:30""}, ""sunday"": {""open"": ""08:00"", ""close"": ""17:00""}}","true","7:30 AM - 6:30 PM","Open Slots","{""open_hour"": 7, ""close_hour"": 18, ""open_minute"": 30, ""close_minute"": 30}","[{""slot"": ""07:30-09:30"", ""available"": true}, {""slot"": ""09:30-11:30"", ""available"": true}]","9.7550","118.7550","pending","",""
"1d4f9a7e-7f8b-4c8f-9f9f-7890123456bc","Elena","Rivera","Metropole Laundry Puerto Princesa","Malvar Road Extension, Brgy. San Jose, Puerto Princesa City","0945-321-0987","","","","metropolepp","metropolepp@metropole.ph","","[{""service"": ""Wash-Dry-Fold"", ""price"": 45}, {""service"": ""Dry Cleaning"", ""price"": 110}, {""service"": ""Household Items"", ""price"": 110}]","true","Branch of the leading Filipino laundry chain with over 3 decades of experience. Professional care with modern equipment.","Malvar Road Extension, Brgy. San Jose","{""monday"": {""open"": ""08:00"", ""close"": ""19:00""}, ""tuesday"": {""open"": ""08:00"", ""close"": ""19:00""}, ""wednesday"": {""open"": ""08:00"", ""close"": ""19:00""}, ""thursday"": {""open"": ""08:00"", ""close"": ""19:00""}, ""friday"": {""open"": ""08:00"", ""close"": ""19:00""}, ""saturday"": {""open"": ""08:00"", ""close"": ""19:00""}, ""sunday"": {""open"": ""09:00"", ""close"": ""18:00""}}","true","8:00 AM - 7:00 PM","Open Slots","{""open_hour"": 8, ""close_hour"": 19, ""open_minute"": 0, ""close_minute"": 0}","[{""slot"": ""08:00-10:00"", ""available"": true}, {""slot"": ""10:00-12:00"", ""available"": true}]","9.7300","118.7300","pending","",""
"5e8f3b7f-8f9c-4d9f-af9f-8901234567cd","Manuel","Diaz","Baybayin Laundry Services","National Highway, Brgy. San Rafael, Puerto Princesa City","0932-654-3210","","","","baybayinlaundry","baybayinlaundry@yahoo.com","","[{""service"": ""Regular Laundry"", ""price"": 38}, {""service"": ""Comforter Cleaning"", ""price"": 200}, {""service"": ""Rug Cleaning"", ""price"": 150}]","true","Local laundry service specializing in bulky items and regular clothing. Serving the San Rafael community and nearby areas.","National Highway, Brgy. San Rafael","{""monday"": {""open"": ""07:00"", ""close"": ""18:00""}, ""tuesday"": {""open"": ""07:00"", ""close"": ""18:00""}, ""wednesday"": {""open"": ""07:00"", ""close"": ""18:00""}, ""thursday"": {""open"": ""07:00"", ""close"": ""18:00""}, ""friday"": {""open"": ""07:00"", ""close"": ""18:00""}, ""saturday"": {""open"": ""07:00"", ""close"": ""18:00""}, ""sunday"": {""open"": ""08:00"", ""close"": ""17:00""}}","true","7:00 AM - 6:00 PM","Open Slots","{""open_hour"": 7, ""close_hour"": 18, ""open_minute"": 0, ""close_minute"": 0}","[{""slot"": ""07:00-09:00"", ""available"": true}, {""slot"": ""09:00-11:00"", ""available"": true}]","9.7600","118.7600","pending","",""
"6a9f2c8f-9f0d-4e9f-bfaf-9012345678cd","Rosa","Mendoza","Sunshine Laundry Shop","Purok 3, Brgy. Bancao-Bancao, Puerto Princesa City","0941-876-5432","","","","sunshinelaundry","sunshinelaundry@outlook.com","","[{""service"": ""Wash & Fold"", ""price"": 42}, {""service"": ""Ironing Service"", ""price"": 28}, {""service"": ""Express Same-Day"", ""price"": 60}]","true","Neighborhood laundry shop in Bancao-Bancao offering reliable wash and fold services with same-day express option.","Purok 3, Brgy. Bancao-Bancao","{""monday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""tuesday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""wednesday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""thursday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""friday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""saturday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""sunday"": {""open"": ""08:00"", ""close"": ""18:00""}}","true","7:00 AM - 7:00 PM","Open Slots","{""open_hour"": 7, ""close_hour"": 19, ""open_minute"": 0, ""close_minute"": 0}","[{""slot"": ""07:00-09:00"", ""available"": true}, {""slot"": ""09:00-11:00"", ""available"": true}]","9.7350","118.7350","pending","",""
"7baf1d9f-af0e-4faf-cfaf-0123456789cd","Alberto","Cruz","Prime Wash Laundry","Zone 2, Brgy. San Manuel, Puerto Princesa City","0938-111-2222","","","","primewash","primewash@gmail.com","","[{""service"": ""Regular Wash"", ""price"": 35}, {""service"": ""Premium Wash"", ""price"": 50}, {""service"": ""Bedding Items"", ""price"": 90}]","true","Quality laundry services in San Manuel with premium and regular wash options. Specializes in bedding and household items.","Zone 2, Brgy. San Manuel","{""monday"": {""open"": ""08:30"", ""close"": ""18:30""}, ""tuesday"": {""open"": ""08:30"", ""close"": ""18:30""}, ""wednesday"": {""open"": ""08:30"", ""close"": ""18:30""}, ""thursday"": {""open"": ""08:30"", ""close"": ""18:30""}, ""friday"": {""open"": ""08:30"", ""close"": ""18:30""}, ""saturday"": {""open"": ""08:30"", ""close"": ""18:30""}, ""sunday"": {""open"": ""09:00"", ""close"": ""17:00""}}","true","8:30 AM - 6:30 PM","Open Slots","{""open_hour"": 8, ""close_hour"": 18, ""open_minute"": 30, ""close_minute"": 30}","[{""slot"": ""08:30-10:30"", ""available"": true}, {""slot"": ""10:30-12:30"", ""available"": true}]","9.7320","118.7320","pending","",""
